Value,lulcc,lu_T1,lu_T2,lc_T1,lc_T2,general_T1,general_T2,macro_T1,macro_T2
2354,Tree Canopy Over Roads to Riverine Wetlands Forest,Tree Canopy Over Roads,Riverine Wetlands,Tree Canopy Over Impervious Roads,Tree Canopy,Tree Canopy over Impervious,Forest,Developed,Natural
2355,Tree Canopy Over Roads to Riverine Wetlands Harvested Forest,Tree Canopy Over Roads,Harvested Forest,Tree Canopy Over Impervious Roads,Low Vegetation,Tree Canopy over Impervious,Harvested Forest,Developed,Natural
2360,Tree Canopy Over Roads to Terrene Wetlands Barren,Tree Canopy Over Roads,Terrene Wetlands,Tree Canopy Over Impervious Roads,Barren,Tree Canopy over Impervious,"Wetlands, Terrene Non-forested",Developed,Natural
2361,Tree Canopy Over Roads to Terrene Wetlands Herbaceous,Tree Canopy Over Roads,Terrene Wetlands,Tree Canopy Over Impervious Roads,Low Vegetation,Tree Canopy over Impervious,"Wetlands, Terrene Non-forested",Developed,Natural
2362,Tree Canopy Over Roads to Terrene Wetlands Shrubland,Tree Canopy Over Roads,Terrene Wetlands,Tree Canopy Over Impervious Roads,Shrubland,Tree Canopy over Impervious,"Wetlands, Terrene Non-forested",Developed,Natural
2363,Tree Canopy Over Roads to Terrene Wetlands Forested Other,Tree Canopy Over Roads,Terrene Wetlands,Tree Canopy Over Impervious Roads,Tree Canopy,Tree Canopy over Impervious,"Forested, Other",Developed,Natural
2364,Tree Canopy Over Roads to Terrene Wetlands Forest,Tree Canopy Over Roads,Terrene Wetlands,Tree Canopy Over Impervious Roads,Tree Canopy,Tree Canopy over Impervious,Forest,Developed,Natural
2365,Tree Canopy Over Roads to Terrene Wetlands Harvested Forest,Tree Canopy Over Roads,Harvested Forest,Tree Canopy Over Impervious Roads,Low Vegetation,Tree Canopy over Impervious,Harvested Forest,Developed,Natural
2370,Tree Canopy Over Roads to Tidal Wetlands Barren,Tree Canopy Over Roads,Tidal Wetlands,Tree Canopy Over Impervious Roads,Barren,Tree Canopy over Impervious,"Wetlands, Tidal Non-forested",Developed,Natural
2371,Tree Canopy Over Roads to Tidal Wetlands Herbaceous,Tree Canopy Over Roads,Tidal Wetlands,Tree Canopy Over Impervious Roads,Low Vegetation,Tree Canopy over Impervious,"Wetlands, Tidal Non-forested",Developed,Natural
2372,Tree Canopy Over Roads to Tidal Wetlands Shrubland,Tree Canopy Over Roads,Tidal Wetlands,Tree Canopy Over Impervious Roads,Shrubland,Tree Canopy over Impervious,"Wetlands, Tidal Non-forested",Developed,Natural
2373,Tree Canopy Over Roads to Tidal Wetlands Forested Other,Tree Canopy Over Roads,Tidal Wetlands,Tree Canopy Over Impervious Roads,Tree Canopy,Tree Canopy over Impervious,"Forested, Other",Developed,Natural
2374,Tree Canopy Over Roads to Tidal Wetlands Forest,Tree Canopy Over Roads,Tidal Wetlands,Tree Canopy Over Impervious Roads,Tree Canopy,Tree Canopy over Impervious,Forest,Developed,Natural
2375,Tree Canopy Over Roads to Tidal Wetlands Harvested Forest,Tree Canopy Over Roads,Harvested Forest,Tree Canopy Over Impervious Roads,Low Vegetation,Tree Canopy over Impervious,Harvested Forest,Developed,Natural
2380,Tree Canopy Over Roads to Cropland Barren,Tree Canopy Over Roads,Cropland,Tree Canopy Over Impervious Roads,Barren,Tree Canopy over Impervious,Cropland,Developed,Agricultural
2381,Tree Canopy Over Roads to Cropland Herbaceous,Tree Canopy Over Roads,Cropland,Tree Canopy Over Impervious Roads,Low Vegetation,Tree Canopy over Impervious,Cropland,Developed,Agricultural
2383,Tree Canopy Over Roads to Orchards and Vineyards Herbaceous,Tree Canopy Over Roads,Orchards and Vineyards,Tree Canopy Over Impervious Roads,Low Vegetation,Tree Canopy over Impervious,Cropland,Developed,Agricultural
2384,Tree Canopy Over Roads to Orchards and Vineyards Shrubland,Tree Canopy Over Roads,Orchards and Vineyards,Tree Canopy Over Impervious Roads,Shrubland,Tree Canopy over Impervious,Cropland,Developed,Agricultural
2385,Tree Canopy Over Roads to Pasture and Hay Barren,Tree Canopy Over Roads,Pasture and Hay,Tree Canopy Over Impervious Roads,Barren,Tree Canopy over Impervious,Pasture and Hay,Developed,Agricultural
2386,Tree Canopy Over Roads to Pasture and Hay Herbaceous,Tree Canopy Over Roads,Pasture and Hay,Tree Canopy Over Impervious Roads,Low Vegetation,Tree Canopy over Impervious,Pasture and Hay,Developed,Agricultural
2410,Tree Canopy Over Structures to Tidal Waters,Tree Canopy Over Structures,Tidal Waters,Tree Canopy Over Impervious Structures,Water,Tree Canopy over Impervious,Water,Developed,Water
2411,Tree Canopy Over Structures to Lakes and Reservoirs,Tree Canopy Over Structures,Lakes and Reservoirs,Tree Canopy Over Impervious Structures,Water,Tree Canopy over Impervious,Water,Developed,Water
2412,Tree Canopy Over Structures to Riverine Ponds,Tree Canopy Over Structures,Riverine Ponds,Tree Canopy Over Impervious Structures,Water,Tree Canopy over Impervious,Water,Developed,Water
2413,Tree Canopy Over Structures to Terrene Ponds,Tree Canopy Over Structures,Terrene Ponds,Tree Canopy Over Impervious Structures,Water,Tree Canopy over Impervious,Water,Developed,Water
2414,Tree Canopy Over Structures to Streams and Rivers,Tree Canopy Over Structures,Streams and Rivers,Tree Canopy Over Impervious Structures,Water,Tree Canopy over Impervious,Water,Developed,Water
2415,Tree Canopy Over Structures to Bare Shore,Tree Canopy Over Structures,Bare Shore,Tree Canopy Over Impervious Structures,Barren,Tree Canopy over Impervious,Natural Succession,Developed,Natural
2420,Tree Canopy Over Structures to Roads,Tree Canopy Over Structures,Roads,Tree Canopy Over Impervious Structures,Impervious Roads,Tree Canopy over Impervious,Impervious Roads,Developed,Developed
2421,Tree Canopy Over Structures to Structures,Tree Canopy Over Structures,Structures,Tree Canopy Over Impervious Structures,Impervious Structures,Tree Canopy over Impervious,Impervious Structures,Developed,Developed
2422,Tree Canopy Over Structures to Other Impervious,Tree Canopy Over Structures,Other Impervious,Tree Canopy Over Impervious Structures,Other Impervious,Tree Canopy over Impervious,"Impervious, Other",Developed,Developed
2423,Tree Canopy Over Structures to Tree Canopy Over Roads,Tree Canopy Over Structures,Tree Canopy Over Roads,Tree Canopy Over Impervious Structures,Tree Canopy Over Impervious Roads,Tree Canopy over Impervious,Tree Canopy over Impervious,Developed,Developed
2425,Tree Canopy Over Structures to Tree Canopy Over Other Impervious,Tree Canopy Over Structures,Tree Canopy Over Other Impervious,Tree Canopy Over Impervious Structures,Tree Canopy Over Other Impervious,Tree Canopy over Impervious,Tree Canopy over Impervious,Developed,Developed
2426,Tree Canopy Over Structures to Tree Canopy Over Turf Grass,Tree Canopy Over Structures,Tree Canopy Over Turf,Tree Canopy Over Impervious Structures,Tree Canopy,Tree Canopy over Impervious,Tree Canopy over Turf Grass,Developed,Developed
2427,Tree Canopy Over Structures to Turf Grass,Tree Canopy Over Structures,Turf,Tree Canopy Over Impervious Structures,Low Vegetation,Tree Canopy over Impervious,Turf Grass,Developed,Developed
2428,Tree Canopy Over Structures to Bare Developed,Tree Canopy Over Structures,Developed,Tree Canopy Over Impervious Structures,Barren,Tree Canopy over Impervious,"Pervious Developed, Other",Developed,Developed
2430,Tree Canopy Over Structures to Extractive Barren,Tree Canopy Over Structures,Extractive,Tree Canopy Over Impervious Structures,Barren,Tree Canopy over Impervious,Extractive,Developed,Developed
2431,Tree Canopy Over Structures to Extractive Impervious,Tree Canopy Over Structures,Extractive,Tree Canopy Over Impervious Structures,Other Impervious,Tree Canopy over Impervious,Extractive,Developed,Developed
2432,Tree Canopy Over Structures to Solar Field Panel Arrays,Tree Canopy Over Structures,Solar Field,Tree Canopy Over Impervious Structures,Other Impervious,Tree Canopy over Impervious,"Impervious, Other",Developed,Developed
2433,Tree Canopy Over Structures to Solar Field Barren,Tree Canopy Over Structures,Solar Field,Tree Canopy Over Impervious Structures,Barren,Tree Canopy over Impervious,"Pervious Developed, Other",Developed,Developed
2434,Tree Canopy Over Structures to Solar Field Herbaceous,Tree Canopy Over Structures,Solar Field,Tree Canopy Over Impervious Structures,Low Vegetation,Tree Canopy over Impervious,"Pervious Developed, Other",Developed,Developed
2436,Tree Canopy Over Structures to Suspended Succession Barren,Tree Canopy Over Structures,Suspended Succession,Tree Canopy Over Impervious Structures,Barren,Tree Canopy over Impervious,"Pervious Developed, Other",Developed,Developed
2437,Tree Canopy Over Structures to Suspended Succession Herbaceous,Tree Canopy Over Structures,Suspended Succession,Tree Canopy Over Impervious Structures,Low Vegetation,Tree Canopy over Impervious,"Pervious Developed, Other",Developed,Developed
2438,Tree Canopy Over Structures to Suspended Succession Shrubland,Tree Canopy Over Structures,Suspended Succession,Tree Canopy Over Impervious Structures,Shrubland,Tree Canopy over Impervious,"Pervious Developed, Other",Developed,Developed
2440,Tree Canopy Over Structures to Forest,Tree Canopy Over Structures,Forest,Tree Canopy Over Impervious Structures,Tree Canopy,Tree Canopy over Impervious,Forest,Developed,Natural
2441,Tree Canopy Over Structures to Forested Other,Tree Canopy Over Structures,Forested Other,Tree Canopy Over Impervious Structures,Tree Canopy,Tree Canopy over Impervious,"Forested, Other",Developed,Natural
2442,Tree Canopy Over Structures to Natural Succession Barren,Tree Canopy Over Structures,Natural Succession,Tree Canopy Over Impervious Structures,Barren,Tree Canopy over Impervious,Natural Succession,Developed,Natural
2443,Tree Canopy Over Structures to Natural Succession Herbaceous,Tree Canopy Over Structures,Natural Succession,Tree Canopy Over Impervious Structures,Low Vegetation,Tree Canopy over Impervious,Natural Succession,Developed,Natural
2444,Tree Canopy Over Structures to Natural Succession Shrubland,Tree Canopy Over Structures,Natural Succession,Tree Canopy Over Impervious Structures,Shrubland,Tree Canopy over Impervious,Natural Succession,Developed,Natural
2445,Tree Canopy Over Structures to Harvested Forest Barren,Tree Canopy Over Structures,Harvested Forest,Tree Canopy Over Impervious Structures,Barren,Tree Canopy over Impervious,Harvested Forest,Developed,Natural
2446,Tree Canopy Over Structures to Harvested Forest Herbaceous,Tree Canopy Over Structures,Harvested Forest,Tree Canopy Over Impervious Structures,Low Vegetation,Tree Canopy over Impervious,Harvested Forest,Developed,Natural
2450,Tree Canopy Over Structures to Riverine Wetlands Barren,Tree Canopy Over Structures,Riverine Wetlands,Tree Canopy Over Impervious Structures,Barren,Tree Canopy over Impervious,"Wetlands, Riverine Non-forested",Developed,Natural
2451,Tree Canopy Over Structures to Riverine Wetlands Herbaceous,Tree Canopy Over Structures,Riverine Wetlands,Tree Canopy Over Impervious Structures,Low Vegetation,Tree Canopy over Impervious,"Wetlands, Riverine Non-forested",Developed,Natural
2452,Tree Canopy Over Structures to Riverine Wetlands Shrubland,Tree Canopy Over Structures,Riverine Wetlands,Tree Canopy Over Impervious Structures,Shrubland,Tree Canopy over Impervious,"Wetlands, Riverine Non-forested",Developed,Natural
2453,Tree Canopy Over Structures to Riverine Wetlands Forested Other,Tree Canopy Over Structures,Riverine Wetlands,Tree Canopy Over Impervious Structures,Tree Canopy,Tree Canopy over Impervious,"Forested, Other",Developed,Natural
2454,Tree Canopy Over Structures to Riverine Wetlands Forest,Tree Canopy Over Structures,Riverine Wetlands,Tree Canopy Over Impervious Structures,Tree Canopy,Tree Canopy over Impervious,Forest,Developed,Natural
2455,Tree Canopy Over Structures to Riverine Wetlands Harvested Forest,Tree Canopy Over Structures,Harvested Forest,Tree Canopy Over Impervious Structures,Low Vegetation,Tree Canopy over Impervious,Harvested Forest,Developed,Natural
2460,Tree Canopy Over Structures to Terrene Wetlands Barren,Tree Canopy Over Structures,Terrene Wetlands,Tree Canopy Over Impervious Structures,Barren,Tree Canopy over Impervious,"Wetlands, Terrene Non-forested",Developed,Natural
2461,Tree Canopy Over Structures to Terrene Wetlands Herbaceous,Tree Canopy Over Structures,Terrene Wetlands,Tree Canopy Over Impervious Structures,Low Vegetation,Tree Canopy over Impervious,"Wetlands, Terrene Non-forested",Developed,Natural
2463,Tree Canopy Over Structures to Terrene Wetlands Forested Other,Tree Canopy Over Structures,Terrene Wetlands,Tree Canopy Over Impervious Structures,Tree Canopy,Tree Canopy over Impervious,"Forested, Other",Developed,Natural
2465,Tree Canopy Over Structures to Terrene Wetlands Harvested Forest,Tree Canopy Over Structures,Harvested Forest,Tree Canopy Over Impervious Structures,Low Vegetation,Tree Canopy over Impervious,Harvested Forest,Developed,Natural
2471,Tree Canopy Over Structures to Tidal Wetlands Herbaceous,Tree Canopy Over Structures,Tidal Wetlands,Tree Canopy Over Impervious Structures,Low Vegetation,Tree Canopy over Impervious,"Wetlands, Tidal Non-forested",Developed,Natural
2473,Tree Canopy Over Structures to Tidal Wetlands Forested Other,Tree Canopy Over Structures,Tidal Wetlands,Tree Canopy Over Impervious Structures,Tree Canopy,Tree Canopy over Impervious,"Forested, Other",Developed,Natural
2480,Tree Canopy Over Structures to Cropland Barren,Tree Canopy Over Structures,Cropland,Tree Canopy Over Impervious Structures,Barren,Tree Canopy over Impervious,Cropland,Developed,Agricultural
2481,Tree Canopy Over Structures to Cropland Herbaceous,Tree Canopy Over Structures,Cropland,Tree Canopy Over Impervious Structures,Low Vegetation,Tree Canopy over Impervious,Cropland,Developed,Agricultural
2483,Tree Canopy Over Structures to Orchards and Vineyards Herbaceous,Tree Canopy Over Structures,Orchards and Vineyards,Tree Canopy Over Impervious Structures,Low Vegetation,Tree Canopy over Impervious,Cropland,Developed,Agricultural
2485,Tree Canopy Over Structures to Pasture and Hay Barren,Tree Canopy Over Structures,Pasture and Hay,Tree Canopy Over Impervious Structures,Barren,Tree Canopy over Impervious,Pasture and Hay,Developed,Agricultural
2486,Tree Canopy Over Structures to Pasture and Hay Herbaceous,Tree Canopy Over Structures,Pasture and Hay,Tree Canopy Over Impervious Structures,Low Vegetation,Tree Canopy over Impervious,Pasture and Hay,Developed,Agricultural
2510,Tree Canopy Over Other Impervious to Tidal Waters,Tree Canopy Over Other Impervious,Tidal Waters,Tree Canopy Over Other Impervious,Water,Tree Canopy over Impervious,Water,Developed,Water
2511,Tree Canopy Over Other Impervious to Lakes and Reservoirs,Tree Canopy Over Other Impervious,Lakes and Reservoirs,Tree Canopy Over Other Impervious,Water,Tree Canopy over Impervious,Water,Developed,Water
2512,Tree Canopy Over Other Impervious to Riverine Ponds,Tree Canopy Over Other Impervious,Riverine Ponds,Tree Canopy Over Other Impervious,Water,Tree Canopy over Impervious,Water,Developed,Water
2513,Tree Canopy Over Other Impervious to Terrene Ponds,Tree Canopy Over Other Impervious,Terrene Ponds,Tree Canopy Over Other Impervious,Water,Tree Canopy over Impervious,Water,Developed,Water
2514,Tree Canopy Over Other Impervious to Streams and Rivers,Tree Canopy Over Other Impervious,Streams and Rivers,Tree Canopy Over Other Impervious,Water,Tree Canopy over Impervious,Water,Developed,Water
2515,Tree Canopy Over Other Impervious to Bare Shore,Tree Canopy Over Other Impervious,Bare Shore,Tree Canopy Over Other Impervious,Barren,Tree Canopy over Impervious,Natural Succession,Developed,Natural
2520,Tree Canopy Over Other Impervious to Roads,Tree Canopy Over Other Impervious,Roads,Tree Canopy Over Other Impervious,Impervious Roads,Tree Canopy over Impervious,Impervious Roads,Developed,Developed
2521,Tree Canopy Over Other Impervious to Structures,Tree Canopy Over Other Impervious,Structures,Tree Canopy Over Other Impervious,Impervious Structures,Tree Canopy over Impervious,Impervious Structures,Developed,Developed
2522,Tree Canopy Over Other Impervious to Other Impervious,Tree Canopy Over Other Impervious,Other Impervious,Tree Canopy Over Other Impervious,Other Impervious,Tree Canopy over Impervious,"Impervious, Other",Developed,Developed
2523,Tree Canopy Over Other Impervious to Tree Canopy Over Roads,Tree Canopy Over Other Impervious,Tree Canopy Over Roads,Tree Canopy Over Other Impervious,Tree Canopy Over Impervious Roads,Tree Canopy over Impervious,Tree Canopy over Impervious,Developed,Developed
2524,Tree Canopy Over Other Impervious to Tree Canopy Over Structures,Tree Canopy Over Other Impervious,Tree Canopy Over Structures,Tree Canopy Over Other Impervious,Tree Canopy Over Impervious Structures,Tree Canopy over Impervious,Tree Canopy over Impervious,Developed,Developed
2526,Tree Canopy Over Other Impervious to Tree Canopy Over Turf Grass,Tree Canopy Over Other Impervious,Tree Canopy Over Turf,Tree Canopy Over Other Impervious,Tree Canopy,Tree Canopy over Impervious,Tree Canopy over Turf Grass,Developed,Developed
2527,Tree Canopy Over Other Impervious to Turf Grass,Tree Canopy Over Other Impervious,Turf,Tree Canopy Over Other Impervious,Low Vegetation,Tree Canopy over Impervious,Turf Grass,Developed,Developed
2528,Tree Canopy Over Other Impervious to Bare Developed,Tree Canopy Over Other Impervious,Developed,Tree Canopy Over Other Impervious,Barren,Tree Canopy over Impervious,"Pervious Developed, Other",Developed,Developed
2530,Tree Canopy Over Other Impervious to Extractive Barren,Tree Canopy Over Other Impervious,Extractive,Tree Canopy Over Other Impervious,Barren,Tree Canopy over Impervious,Extractive,Developed,Developed
2531,Tree Canopy Over Other Impervious to Extractive Impervious,Tree Canopy Over Other Impervious,Extractive,Tree Canopy Over Other Impervious,Other Impervious,Tree Canopy over Impervious,Extractive,Developed,Developed
2532,Tree Canopy Over Other Impervious to Solar Field Panel Arrays,Tree Canopy Over Other Impervious,Solar Field,Tree Canopy Over Other Impervious,Other Impervious,Tree Canopy over Impervious,"Impervious, Other",Developed,Developed
2534,Tree Canopy Over Other Impervious to Solar Field Herbaceous,Tree Canopy Over Other Impervious,Solar Field,Tree Canopy Over Other Impervious,Low Vegetation,Tree Canopy over Impervious,"Pervious Developed, Other",Developed,Developed
2536,Tree Canopy Over Other Impervious to Suspended Succession Barren,Tree Canopy Over Other Impervious,Suspended Succession,Tree Canopy Over Other Impervious,Barren,Tree Canopy over Impervious,"Pervious Developed, Other",Developed,Developed
2537,Tree Canopy Over Other Impervious to Suspended Succession Herbaceous,Tree Canopy Over Other Impervious,Suspended Succession,Tree Canopy Over Other Impervious,Low Vegetation,Tree Canopy over Impervious,"Pervious Developed, Other",Developed,Developed
2538,Tree Canopy Over Other Impervious to Suspended Succession Shrubland,Tree Canopy Over Other Impervious,Suspended Succession,Tree Canopy Over Other Impervious,Shrubland,Tree Canopy over Impervious,"Pervious Developed, Other",Developed,Developed
2540,Tree Canopy Over Other Impervious to Forest,Tree Canopy Over Other Impervious,Forest,Tree Canopy Over Other Impervious,Tree Canopy,Tree Canopy over Impervious,Forest,Developed,Natural
2541,Tree Canopy Over Other Impervious to Forested Other,Tree Canopy Over Other Impervious,Forested Other,Tree Canopy Over Other Impervious,Tree Canopy,Tree Canopy over Impervious,"Forested, Other",Developed,Natural
2542,Tree Canopy Over Other Impervious to Natural Succession Barren,Tree Canopy Over Other Impervious,Natural Succession,Tree Canopy Over Other Impervious,Barren,Tree Canopy over Impervious,Natural Succession,Developed,Natural
2543,Tree Canopy Over Other Impervious to Natural Succession Herbaceous,Tree Canopy Over Other Impervious,Natural Succession,Tree Canopy Over Other Impervious,Low Vegetation,Tree Canopy over Impervious,Natural Succession,Developed,Natural
2544,Tree Canopy Over Other Impervious to Natural Succession Shrubland,Tree Canopy Over Other Impervious,Natural Succession,Tree Canopy Over Other Impervious,Shrubland,Tree Canopy over Impervious,Natural Succession,Developed,Natural
2545,Tree Canopy Over Other Impervious to Harvested Forest Barren,Tree Canopy Over Other Impervious,Harvested Forest,Tree Canopy Over Other Impervious,Barren,Tree Canopy over Impervious,Harvested Forest,Developed,Natural
2546,Tree Canopy Over Other Impervious to Harvested Forest Herbaceous,Tree Canopy Over Other Impervious,Harvested Forest,Tree Canopy Over Other Impervious,Low Vegetation,Tree Canopy over Impervious,Harvested Forest,Developed,Natural
2550,Tree Canopy Over Other Impervious to Riverine Wetlands Barren,Tree Canopy Over Other Impervious,Riverine Wetlands,Tree Canopy Over Other Impervious,Barren,Tree Canopy over Impervious,"Wetlands, Riverine Non-forested",Developed,Natural
2551,Tree Canopy Over Other Impervious to Riverine Wetlands Herbaceous,Tree Canopy Over Other Impervious,Riverine Wetlands,Tree Canopy Over Other Impervious,Low Vegetation,Tree Canopy over Impervious,"Wetlands, Riverine Non-forested",Developed,Natural
2552,Tree Canopy Over Other Impervious to Riverine Wetlands Shrubland,Tree Canopy Over Other Impervious,Riverine Wetlands,Tree Canopy Over Other Impervious,Shrubland,Tree Canopy over Impervious,"Wetlands, Riverine Non-forested",Developed,Natural
2553,Tree Canopy Over Other Impervious to Riverine Wetlands Forested Other,Tree Canopy Over Other Impervious,Riverine Wetlands,Tree Canopy Over Other Impervious,Tree Canopy,Tree Canopy over Impervious,"Forested, Other",Developed,Natural
2554,Tree Canopy Over Other Impervious to Riverine Wetlands Forest,Tree Canopy Over Other Impervious,Riverine Wetlands,Tree Canopy Over Other Impervious,Tree Canopy,Tree Canopy over Impervious,Forest,Developed,Natural
2555,Tree Canopy Over Other Impervious to Riverine Wetlands Harvested Forest,Tree Canopy Over Other Impervious,Harvested Forest,Tree Canopy Over Other Impervious,Low Vegetation,Tree Canopy over Impervious,Harvested Forest,Developed,Natural
2560,Tree Canopy Over Other Impervious to Terrene Wetlands Barren,Tree Canopy Over Other Impervious,Terrene Wetlands,Tree Canopy Over Other Impervious,Barren,Tree Canopy over Impervious,"Wetlands, Terrene Non-forested",Developed,Natural
2561,Tree Canopy Over Other Impervious to Terrene Wetlands Herbaceous,Tree Canopy Over Other Impervious,Terrene Wetlands,Tree Canopy Over Other Impervious,Low Vegetation,Tree Canopy over Impervious,"Wetlands, Terrene Non-forested",Developed,Natural
2562,Tree Canopy Over Other Impervious to Terrene Wetlands Shrubland,Tree Canopy Over Other Impervious,Terrene Wetlands,Tree Canopy Over Other Impervious,Shrubland,Tree Canopy over Impervious,"Wetlands, Terrene Non-forested",Developed,Natural
2563,Tree Canopy Over Other Impervious to Terrene Wetlands Forested Other,Tree Canopy Over Other Impervious,Terrene Wetlands,Tree Canopy Over Other Impervious,Tree Canopy,Tree Canopy over Impervious,"Forested, Other",Developed,Natural
2564,Tree Canopy Over Other Impervious to Terrene Wetlands Forest,Tree Canopy Over Other Impervious,Terrene Wetlands,Tree Canopy Over Other Impervious,Tree Canopy,Tree Canopy over Impervious,Forest,Developed,Natural
2565,Tree Canopy Over Other Impervious to Terrene Wetlands Harvested Forest,Tree Canopy Over Other Impervious,Harvested Forest,Tree Canopy Over Other Impervious,Low Vegetation,Tree Canopy over Impervious,Harvested Forest,Developed,Natural
2570,Tree Canopy Over Other Impervious to Tidal Wetlands Barren,Tree Canopy Over Other Impervious,Tidal Wetlands,Tree Canopy Over Other Impervious,Barren,Tree Canopy over Impervious,"Wetlands, Tidal Non-forested",Developed,Natural
2571,Tree Canopy Over Other Impervious to Tidal Wetlands Herbaceous,Tree Canopy Over Other Impervious,Tidal Wetlands,Tree Canopy Over Other Impervious,Low Vegetation,Tree Canopy over Impervious,"Wetlands, Tidal Non-forested",Developed,Natural
2572,Tree Canopy Over Other Impervious to Tidal Wetlands Shrubland,Tree Canopy Over Other Impervious,Tidal Wetlands,Tree Canopy Over Other Impervious,Shrubland,Tree Canopy over Impervious,"Wetlands, Tidal Non-forested",Developed,Natural
2573,Tree Canopy Over Other Impervious to Tidal Wetlands Forested Other,Tree Canopy Over Other Impervious,Tidal Wetlands,Tree Canopy Over Other Impervious,Tree Canopy,Tree Canopy over Impervious,"Forested, Other",Developed,Natural
2574,Tree Canopy Over Other Impervious to Tidal Wetlands Forest,Tree Canopy Over Other Impervious,Tidal Wetlands,Tree Canopy Over Other Impervious,Tree Canopy,Tree Canopy over Impervious,Forest,Developed,Natural
2575,Tree Canopy Over Other Impervious to Tidal Wetlands Harvested Forest,Tree Canopy Over Other Impervious,Harvested Forest,Tree Canopy Over Other Impervious,Low Vegetation,Tree Canopy over Impervious,Harvested Forest,Developed,Natural
2580,Tree Canopy Over Other Impervious to Cropland Barren,Tree Canopy Over Other Impervious,Cropland,Tree Canopy Over Other Impervious,Barren,Tree Canopy over Impervious,Cropland,Developed,Agricultural
2581,Tree Canopy Over Other Impervious to Cropland Herbaceous,Tree Canopy Over Other Impervious,Cropland,Tree Canopy Over Other Impervious,Low Vegetation,Tree Canopy over Impervious,Cropland,Developed,Agricultural
2583,Tree Canopy Over Other Impervious to Orchards and Vineyards Herbaceous,Tree Canopy Over Other Impervious,Orchards and Vineyards,Tree Canopy Over Other Impervious,Low Vegetation,Tree Canopy over Impervious,Cropland,Developed,Agricultural
2585,Tree Canopy Over Other Impervious to Pasture and Hay Barren,Tree Canopy Over Other Impervious,Pasture and Hay,Tree Canopy Over Other Impervious,Barren,Tree Canopy over Impervious,Pasture and Hay,Developed,Agricultural
2586,Tree Canopy Over Other Impervious to Pasture and Hay Herbaceous,Tree Canopy Over Other Impervious,Pasture and Hay,Tree Canopy Over Other Impervious,Low Vegetation,Tree Canopy over Impervious,Pasture and Hay,Developed,Agricultural
2610,Tree Canopy Over Turf Grass to Tidal Waters,Tree Canopy Over Turf,Tidal Waters,Tree Canopy,Water,Tree Canopy over Turf Grass,Water,Developed,Water
2611,Tree Canopy Over Turf Grass to Lakes and Reservoirs,Tree Canopy Over Turf,Lakes and Reservoirs,Tree Canopy,Water,Tree Canopy over Turf Grass,Water,Developed,Water
2612,Tree Canopy Over Turf Grass to Riverine Ponds,Tree Canopy Over Turf,Riverine Ponds,Tree Canopy,Water,Tree Canopy over Turf Grass,Water,Developed,Water
2613,Tree Canopy Over Turf Grass to Terrene Ponds,Tree Canopy Over Turf,Terrene Ponds,Tree Canopy,Water,Tree Canopy over Turf Grass,Water,Developed,Water
2614,Tree Canopy Over Turf Grass to Streams and Rivers,Tree Canopy Over Turf,Streams and Rivers,Tree Canopy,Water,Tree Canopy over Turf Grass,Water,Developed,Water
2615,Tree Canopy Over Turf Grass to Bare Shore,Tree Canopy Over Turf,Bare Shore,Tree Canopy,Barren,Tree Canopy over Turf Grass,Natural Succession,Developed,Natural
2620,Tree Canopy Over Turf Grass to Roads,Tree Canopy Over Turf,Roads,Tree Canopy,Impervious Roads,Tree Canopy over Turf Grass,Impervious Roads,Developed,Developed
2621,Tree Canopy Over Turf Grass to Structures,Tree Canopy Over Turf,Structures,Tree Canopy,Impervious Structures,Tree Canopy over Turf Grass,Impervious Structures,Developed,Developed
2622,Tree Canopy Over Turf Grass to Other Impervious,Tree Canopy Over Turf,Other Impervious,Tree Canopy,Other Impervious,Tree Canopy over Turf Grass,"Impervious, Other",Developed,Developed
2623,Tree Canopy Over Turf Grass to Tree Canopy Over Roads,Tree Canopy Over Turf,Tree Canopy Over Roads,Tree Canopy,Tree Canopy Over Impervious Roads,Tree Canopy over Turf Grass,Tree Canopy over Impervious,Developed,Developed
2624,Tree Canopy Over Turf Grass to Tree Canopy Over Structures,Tree Canopy Over Turf,Tree Canopy Over Structures,Tree Canopy,Tree Canopy Over Impervious Structures,Tree Canopy over Turf Grass,Tree Canopy over Impervious,Developed,Developed
2625,Tree Canopy Over Turf Grass to Tree Canopy Over Other Impervious,Tree Canopy Over Turf,Tree Canopy Over Other Impervious,Tree Canopy,Tree Canopy Over Other Impervious,Tree Canopy over Turf Grass,Tree Canopy over Impervious,Developed,Developed
2627,Tree Canopy Over Turf Grass to Turf Grass,Tree Canopy Over Turf,Turf,Tree Canopy,Low Vegetation,Tree Canopy over Turf Grass,Turf Grass,Developed,Developed
2628,Tree Canopy Over Turf Grass to Bare Developed,Tree Canopy Over Turf,Developed,Tree Canopy,Barren,Tree Canopy over Turf Grass,"Pervious Developed, Other",Developed,Developed
2630,Tree Canopy Over Turf Grass to Extractive Barren,Tree Canopy Over Turf,Extractive,Tree Canopy,Barren,Tree Canopy over Turf Grass,Extractive,Developed,Developed
2631,Tree Canopy Over Turf Grass to Extractive Impervious,Tree Canopy Over Turf,Extractive,Tree Canopy,Other Impervious,Tree Canopy over Turf Grass,Extractive,Developed,Developed
